[2017-11-06 09:45:34:0257] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 09:45:35:0550] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 09:45:36:0674] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:36:0746] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:36:0872] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:36:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0075] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0138] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0341] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0472] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0544] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0671] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0743] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0872] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:37:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0073] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0145] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0271] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0343] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0472] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0544] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0678] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0740] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0874] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:38:0946] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0074] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0147] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0346] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0470] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0542] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0672] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0744] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0870] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:39:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0069] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0142] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0205] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0340] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0402] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0735] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0808] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:40:0959] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:41:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:41:0136] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 09:45:41:0208] | CInterfaceManager.cpp-L2846: delete one DataNode
